chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
pZM32	4	3769	ZMO1_ZMOp32x001;1	ZMO1_ZMOp32x001	1	.	-	ZMO1_ZMOp32x001	SIR2-like protein	AVZ43123.1
pZM32	4398	4964	ZMO1_ZMOp32x002;1	ZMO1_ZMOp32x002	1	.	+	ZMO1_ZMOp32x002	RelB or DinJ-like antitoxin	AVZ43124.1
pZM32	4971	6707	ZMO1_ZMOp32x004,ZMO1_ZMOp32x005;1	ZMO1_ZMOp32x004	1	.	+	ZMO1_ZMOp32x004	P-loop containing nucleoside triphosphate hydrolase domain protein	AVZ43126.1
pZM32	4971	6707	ZMO1_ZMOp32x004,ZMO1_ZMOp32x005;1	ZMO1_ZMOp32x005	1	.	+	ZMO1_ZMOp32x005	uncharacterized protein	AVZ43127.1
pZM32	6105	8420	ZMO1_ZMOp32x006;1	ZMO1_ZMOp32x006	1	.	-	ZMO1_ZMOp32x006	TonB-dependent receptor plug domain protein	AVZ43128.1
pZM32	8720	9934	ZMO1_ZMOp32x007;1	ZMO1_ZMOp32x007	1	.	+	ZMO1_ZMOp32x007	Ca2+-dependent phosphoinositide phospholipase C	AVZ43129.1
pZM32	10200	11392	ZMO1_ZMOp32x008,ZMO1_ZMOp32x009;1	ZMO1_ZMOp32x008	1	.	-	ZMO1_ZMOp32x008	PIN domain protein	AVZ43130.1
pZM32	10200	11392	ZMO1_ZMOp32x008,ZMO1_ZMOp32x009;1	ZMO1_ZMOp32x009	1	.	-	ZMO1_ZMOp32x009	SinI-like DNA-binding domain protein	AVZ43131.1
pZM32	12010	13130	ZMO1_ZMOp32x010;1	ZMO1_ZMOp32x010	1	.	+	ZMO1_ZMOp32x010	Macro or A1pp domain protein	AVZ43132.1
pZM32	13650	14253	ZMO1_ZMOp32x011;1	ZMO1_ZMOp32x011	1	.	-	ZMO1_ZMOp32x011	uncharacterized protein	AVZ43133.1
pZM32	14303	15365	ZMO1_ZMOp32x012,ZMO1_ZMOp32x013,ZMO1_ZMOp32x014,ZMO1_ZMOp32x015;1	ZMO1_ZMOp32x012	1	.	+	ZMO1_ZMOp32x012	hypothetical protein	AVZ43134.1
pZM32	14303	15365	ZMO1_ZMOp32x012,ZMO1_ZMOp32x013,ZMO1_ZMOp32x014,ZMO1_ZMOp32x015;1	ZMO1_ZMOp32x013	1	.	+	ZMO1_ZMOp32x013	hypothetical protein	AVZ43135.1
pZM32	14303	15365	ZMO1_ZMOp32x012,ZMO1_ZMOp32x013,ZMO1_ZMOp32x014,ZMO1_ZMOp32x015;1	ZMO1_ZMOp32x014	1	.	+	ZMO1_ZMOp32x014	hypothetical protein	AVZ43136.1
pZM32	14303	15365	ZMO1_ZMOp32x012,ZMO1_ZMOp32x013,ZMO1_ZMOp32x014,ZMO1_ZMOp32x015;1	ZMO1_ZMOp32x015	1	.	+	ZMO1_ZMOp32x015	Azospirillum phage Cd Gp10 family protein	AVZ43137.1
pZM32	15411	17199	ZMO1_ZMOp32x016;1	ZMO1_ZMOp32x016	1	.	+	ZMO1_ZMOp32x016	winged helix-turn-helix DNA-binding domain	AVZ43138.1
pZM32	18313	18489	ZMO1_ZMOp32x019;1	ZMO1_ZMOp32x019	1	.	+	ZMO1_ZMOp32x019	hypothetical protein	AVZ43141.1
pZM32	19567	19761	ZMO1_ZMOp32x030;1	ZMO1_ZMOp32x030	1	.	-	ZMO1_ZMOp32x030	hypothetical protein	QIZ64090.1
pZM32	19922	20145	ZMO1_ZMOp32x031;1	ZMO1_ZMOp32x031	1	.	-	ZMO1_ZMOp32x031	hypothetical protein	QIZ64091.1
pZM32	20225	20949	ZMO1_ZMOp32x020,ZMO1_ZMOp32x021;1	ZMO1_ZMOp32x020	1	.	+	ZMO1_ZMOp32x020	MazE antitoxin	AVZ43142.1
pZM32	20225	20949	ZMO1_ZMOp32x020,ZMO1_ZMOp32x021;1	ZMO1_ZMOp32x021	1	.	+	ZMO1_ZMOp32x021	MazF toxin	AVZ43143.1
pZM32	20336	20949	ZMO1_ZMOp32x020,ZMO1_ZMOp32x021;2	ZMO1_ZMOp32x020	2	.	+	ZMO1_ZMOp32x020	MazE antitoxin	AVZ43142.1
