chrm	start	end	target_id	Gene	isoform	value	strand	Synonym	Product	PID
pZM33	281	1308	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;1	ZMO1_ZMOp33x001	1	.	+	ZMO1_ZMOp33x001	hypothetical protein	AVZ43151.1
pZM33	281	1308	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;1	ZMO1_ZMOp33x002	1	.	+	ZMO1_ZMOp33x002	putative Zeta toxin-like kinase	AVZ43152.1
pZM33	399	1224	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;2	ZMO1_ZMOp33x001	2	.	+	ZMO1_ZMOp33x001	hypothetical protein	AVZ43151.1
pZM33	399	1224	ZMO1_ZMOp33x001,ZMO1_ZMOp33x002;2	ZMO1_ZMOp33x002	2	.	+	ZMO1_ZMOp33x002	putative Zeta toxin-like kinase	AVZ43152.1
pZM33	1039	2313	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;1	ZMO1_ZMOp33x003	1	.	-	ZMO1_ZMOp33x003	CopG family transcriptional regulator	AVZ43153.1
pZM33	1039	2313	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;1	ZMO1_ZMOp33x004	1	.	-	ZMO1_ZMOp33x004	CobQ/CobB/MinD/ParA nucleotide binding domain protein	AVZ43154.1
pZM33	1171	2306	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;2	ZMO1_ZMOp33x003	2	.	-	ZMO1_ZMOp33x003	CopG family transcriptional regulator	AVZ43153.1
pZM33	1171	2306	ZMO1_ZMOp33x003,ZMO1_ZMOp33x004;2	ZMO1_ZMOp33x004	2	.	-	ZMO1_ZMOp33x004	CobQ/CobB/MinD/ParA nucleotide binding domain protein	AVZ43154.1
pZM33	2473	3463	ZMO1_ZMOp33x005,ZMO1_ZMOp33x006;1	ZMO1_ZMOp33x005	1	.	+	ZMO1_ZMOp33x005	Vibrio phage ICP1 Orf50 family protein	AVZ43155.1
pZM33	2473	3463	ZMO1_ZMOp33x005,ZMO1_ZMOp33x006;1	ZMO1_ZMOp33x006	1	.	+	ZMO1_ZMOp33x006	acyl-CoA N-acyltransferase	AVZ43156.1
pZM33	3091	3497	ZMO1_ZMOp33x007;1	ZMO1_ZMOp33x007	1	.	-	ZMO1_ZMOp33x007	hypothetical protein	AVZ43157.1
pZM33	3327	3497	ZMO1_ZMOp33x007;2	ZMO1_ZMOp33x007	2	.	-	ZMO1_ZMOp33x007	hypothetical protein	AVZ43157.1
pZM33	3635	4552	ZMO1_ZMOp33x008;1	ZMO1_ZMOp33x008	1	.	-	ZMO1_ZMOp33x008	LysR family transcription regulator	AVZ43158.1
pZM33	4763	7508	ZMO1_ZMOp33x009,ZMO1_ZMOp33x010;1	ZMO1_ZMOp33x009	1	.	+	ZMO1_ZMOp33x009	carbohydrate-selective porin OprB	AVZ43159.1
pZM33	4763	7508	ZMO1_ZMOp33x009,ZMO1_ZMOp33x010;1	ZMO1_ZMOp33x010	1	.	+	ZMO1_ZMOp33x010	sodium:dicarboxylate symporter	AVZ43160.1
pZM33	7593	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x011	1	.	+	ZMO1_ZMOp33x011	carbamoylase-type amidase	AVZ43161.1
pZM33	7593	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x012	1	.	+	ZMO1_ZMOp33x012	2-aminoethylphosphonate--pyruvate transaminase	AVZ43162.1
pZM33	7593	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x013	1	.	+	ZMO1_ZMOp33x013	DUF3225 family protein with NTF2-like domain	AVZ43163.1
pZM33	7593	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x014	1	.	+	ZMO1_ZMOp33x014	protein of unknown function DUF4089	AVZ43164.1
pZM33	7593	12132	ZMO1_ZMOp33x011,ZMO1_ZMOp33x012,ZMO1_ZMOp33x013,ZMO1_ZMOp33x014,ZMO1_ZMOp33x015;1	ZMO1_ZMOp33x015	1	.	+	ZMO1_ZMOp33x015	AtzE type amidohydrolase	AVZ43165.1
pZM33	12229	13531	ZMO1_ZMOp33x016,ZMO1_ZMOp33x017;1	ZMO1_ZMOp33x016	1	.	+	ZMO1_ZMOp33x016	short-chain dehydrogenase/reductase SDR	AVZ43166.1
pZM33	12229	13531	ZMO1_ZMOp33x016,ZMO1_ZMOp33x017;1	ZMO1_ZMOp33x017	1	.	+	ZMO1_ZMOp33x017	carboxymuconolactone decarboxylase-like protein	AVZ43167.1
pZM33	13532	14445	ZMO1_ZMOp33x018;1	ZMO1_ZMOp33x018	1	.	+	ZMO1_ZMOp33x018	bacterial bifunctional deaminase-reductase C-terminal domain-containing protein	AVZ43168.1
pZM33	13532	14254	ZMO1_ZMOp33x018;2	ZMO1_ZMOp33x018	2	.	+	ZMO1_ZMOp33x018	bacterial bifunctional deaminase-reductase C-terminal domain-containing protein	AVZ43168.1
pZM33	13542	15162	ZMO1_ZMOp33x019;1	ZMO1_ZMOp33x019	1	.	-	ZMO1_ZMOp33x019	LysR family transcription regulator	AVZ43169.1
pZM33	14079	15162	ZMO1_ZMOp33x019;2	ZMO1_ZMOp33x019	2	.	-	ZMO1_ZMOp33x019	LysR family transcription regulator	AVZ43169.1
pZM33	15163	16574	ZMO1_ZMOp33x020;1	ZMO1_ZMOp33x020	1	.	-	ZMO1_ZMOp33x020	Bcr/CflA subfamily drug resistance transporter	AVZ43170.1
pZM33	16575	17943	ZMO1_ZMOp33x021;1	ZMO1_ZMOp33x021	1	.	-	ZMO1_ZMOp33x021	alcohol dehydrogenase-like protein	AVZ43171.1
pZM33	17873	20446	ZMO1_ZMOp33x022,ZMO1_ZMOp33x023;1	ZMO1_ZMOp33x022	1	.	+	ZMO1_ZMOp33x022	NADP-dependent oxidoreductase domain protein	AVZ43172.1
pZM33	17873	20446	ZMO1_ZMOp33x022,ZMO1_ZMOp33x023;1	ZMO1_ZMOp33x023	1	.	+	ZMO1_ZMOp33x023	NADP-dependent oxidoreductase domain protein	AVZ43173.1
pZM33	17875	20320	ZMO1_ZMOp33x022,ZMO1_ZMOp33x023;2	ZMO1_ZMOp33x022	2	.	+	ZMO1_ZMOp33x022	NADP-dependent oxidoreductase domain protein	AVZ43172.1
pZM33	17875	20320	ZMO1_ZMOp33x022,ZMO1_ZMOp33x023;2	ZMO1_ZMOp33x023	2	.	+	ZMO1_ZMOp33x023	NADP-dependent oxidoreductase domain protein	AVZ43173.1
pZM33	23520	24883	ZMO1_ZMOp33x026,ZMO1_ZMOp33x027;1	ZMO1_ZMOp33x026	1	.	-	ZMO1_ZMOp33x026	toxin RelE-like domain protein	AVZ43175.1
pZM33	23520	24883	ZMO1_ZMOp33x026,ZMO1_ZMOp33x027;1	ZMO1_ZMOp33x027	1	.	-	ZMO1_ZMOp33x027	relaxosome protein TraY	AVZ43176.1
pZM33	23691	24847	ZMO1_ZMOp33x026,ZMO1_ZMOp33x027;2	ZMO1_ZMOp33x026	2	.	-	ZMO1_ZMOp33x026	toxin RelE-like domain protein	AVZ43175.1
pZM33	23691	24847	ZMO1_ZMOp33x026,ZMO1_ZMOp33x027;2	ZMO1_ZMOp33x027	2	.	-	ZMO1_ZMOp33x027	relaxosome protein TraY	AVZ43176.1
pZM33	25179	26744	ZMO1_ZMOp33x028;1	ZMO1_ZMOp33x028	1	.	-	ZMO1_ZMOp33x028	winged helix-turn-helix DNA-binding domain protein	AVZ43177.1
pZM33	26745	27129	ZMO1_ZMOp33x029;1	ZMO1_ZMOp33x029	1	.	-	ZMO1_ZMOp33x029	Azospirillum phage Cd Gp10 family protein	AVZ43178.1
pZM33	27136	27760	ZMO1_ZMOp33x030;1	ZMO1_ZMOp33x030	1	.	-	ZMO1_ZMOp33x030	hypothetical protein	AVZ43179.1
pZM33	27888	28879	ZMO1_ZMOp33x031;1	ZMO1_ZMOp33x031	1	.	+	ZMO1_ZMOp33x031	uncharacterized protein	AVZ43180.1
pZM33	28669	28863	ZMO1_ZMOp33x032;1	ZMO1_ZMOp33x032	1	.	-	ZMO1_ZMOp33x032	hypothetical protein	AVZ43181.1
pZM33	29076	29841	ZMO1_ZMOp33x033;1	ZMO1_ZMOp33x033	1	.	+	ZMO1_ZMOp33x033	hypothetical protein	AVZ43182.1
pZM33	29883	30160	ZMO1_ZMOp33x034;1	ZMO1_ZMOp33x034	1	.	-	ZMO1_ZMOp33x034	hypothetical protein	AVZ43183.1
pZM33	30240	30569	ZMO1_ZMOp33x035;1	ZMO1_ZMOp33x035	1	.	-	ZMO1_ZMOp33x035	hypothetical protein	AVZ43184.1
pZM33	30636	31779	ZMO1_ZMOp33x036,ZMO1_ZMOp33x037,ZMO1_ZMOp33x038;1	ZMO1_ZMOp33x036	1	.	+	ZMO1_ZMOp33x036	ribonuclease toxin BrnT of type II toxin-antitoxin system	AVZ43185.1
pZM33	30636	31779	ZMO1_ZMOp33x036,ZMO1_ZMOp33x037,ZMO1_ZMOp33x038;1	ZMO1_ZMOp33x037	1	.	+	ZMO1_ZMOp33x037	cro/C1-type transcriptional repressor	AVZ43186.1
pZM33	30636	31779	ZMO1_ZMOp33x036,ZMO1_ZMOp33x037,ZMO1_ZMOp33x038;1	ZMO1_ZMOp33x038	1	.	+	ZMO1_ZMOp33x038	Lambda repressor-like transcriptional regulator	AVZ43187.1
pZM33	30636	31582	ZMO1_ZMOp33x036,ZMO1_ZMOp33x037,ZMO1_ZMOp33x038;2	ZMO1_ZMOp33x036	2	.	+	ZMO1_ZMOp33x036	ribonuclease toxin BrnT of type II toxin-antitoxin system	AVZ43185.1
pZM33	30636	31582	ZMO1_ZMOp33x036,ZMO1_ZMOp33x037,ZMO1_ZMOp33x038;2	ZMO1_ZMOp33x037	2	.	+	ZMO1_ZMOp33x037	cro/C1-type transcriptional repressor	AVZ43186.1
pZM33	30636	31582	ZMO1_ZMOp33x036,ZMO1_ZMOp33x037,ZMO1_ZMOp33x038;2	ZMO1_ZMOp33x038	2	.	+	ZMO1_ZMOp33x038	Lambda repressor-like transcriptional regulator	AVZ43187.1
pZM33	32006	32793	ZMO1_ZMOp33x039,ZMO1_ZMOp33x040;1	ZMO1_ZMOp33x039	1	.	+	ZMO1_ZMOp33x039	hypothetical protein	AVZ43188.1
pZM33	32006	32793	ZMO1_ZMOp33x039,ZMO1_ZMOp33x040;1	ZMO1_ZMOp33x040	1	.	+	ZMO1_ZMOp33x040	death on curing (Doc) protein	AVZ43189.1
